ID,Page impressions,Click-through,Earliest date,Age (days),Word count current,Topic,Type,N readings,N versions,Last update date,Mean version lifetime,N URLs total,Authors,Author last,Likes total,Likes daily median,Dislikes total,Dislikes daily median,Video plays,Media type,Meta title length,Meta description length,H1 length,Abstract length,Unique words in URL,Title has colon,Clickbait confidence,Clickbait,Video player type,Sentiment: abstract,Sentiment conf: abstract,Sentiment: title,Sentiment conf: title,const
1011957,366.0,5.737704918032787,2023-03-20,380.0,472.0,Energie,News,3,0,18. März 2023,2.0,1,Whale,Whale,0,0.0,0,0.0,107,img,78.0,154.0,78.0,260.0,11.0,True,0.5272961854934692,Clickbait,,neutral,0.9999914169311525,neutral,0.999302864074707,1
1011958,368893.0,16.927130631375494,2023-03-19,379.0,375.0,E-Auto,News,5,0,19. März 2023,4.0,1,Dodo,Dodo,1,0.0,1,0.0,36724,video,75.0,158.0,75.0,292.0,11.0,True,-0.6881821751594543,Not Clickbait,,neutral,0.9999651908874512,neutral,0.9489826560020448,1
1011959,73888.0,8.705067128627112,2023-03-19,,437.0,E-Auto,News,8,0,19. März 2023,7.0,1,Lemur,Lemur,2,0.0,1,0.0,3133,img,66.0,153.0,66.0,267.0,8.0,True,-0.7706003785133362,Not Clickbait,,neutral,0.9997192025184632,neutral,0.9999570846557616,1
1011960,3819.0,1.8329405603561144,2023-03-18,380.0,524.0,E-Auto,News,5,0,18. März 2023,6.0,1,Hornet,Hornet,0,0.0,0,0.0,290,img,67.0,155.0,67.0,233.0,11.0,True,-0.6269485354423523,Not Clickbait,,neutral,0.7475707530975342,negative,0.7291882038116455,1
1011961,118977.0,6.687006732393656,2023-03-17,,288.0,THG,News,9,0,10. April 2023,8.0,1,Wasp,Wasp,0,0.0,0,0.0,4785,img,79.0,139.0,79.0,281.0,15.0,True,0.7057573199272156,Clickbait,,neutral,0.999982476234436,neutral,0.9864019751548768,1
1011962,1032057.0,8.823446766990582,2023-03-19,379.0,678.0,E-Auto,News,9,0,19. März 2023,8.0,1,Elephant,Elephant,6,0.0,1,0.0,50267,img,67.0,158.0,67.0,187.0,9.0,True,0.5788935422897339,Clickbait,,negative,0.7847492098808289,neutral,0.9429920315742492,1
1011963,425777.0,5.709561578009146,2023-03-20,,519.0,Wärmepumpe,News,32,3,20. März 2023,101.25,2,Elephant,Elephant,5,0.0,1,0.0,15848,img,71.0,152.0,77.0,152.0,10.0,True,0.5286849141120911,Clickbait,3 - Widget,neutral,0.99964702129364,neutral,0.999294638633728,1
1011964,281412.0,6.545563088994073,2023-03-19,,468.0,Auto,Kaufberatung,15,1,25. März 2023,7.0,2,Rooster,Rooster,0,0.0,0,0.0,14228,img,69.0,155.0,69.0,221.0,7.0,True,-0.5422965288162231,Not Clickbait,3 - Widget,neutral,0.8922743201255798,neutral,0.9765260815620422,1
1011965,11990.0,9.87489574645538,2023-03-19,,729.0,E-Auto,News,4,0,19. März 2023,3.0,1,Squirrel,Squirrel,1,0.0,0,0.0,1184,img,79.0,148.0,79.0,313.0,16.0,True,0.7810865640640259,Clickbait,,negative,0.8828410506248474,neutral,0.9999831914901732,1
1011966,108661.0,3.0268449581726657,2023-03-19,379.0,543.0,Balkonkraftwerk,News,9,0,19. März 2023,8.0,1,Squirrel,Squirrel,0,0.0,0,0.0,1314,img,79.0,158.0,79.0,214.0,13.0,False,0.6011972427368164,Clickbait,,neutral,0.9960739612579346,neutral,0.9586929082870485,1
1011968,31304.0,5.21978021978022,2023-03-20,378.0,454.0,E-Auto,News,5,0,20. März 2023,4.0,1,Elephant,Elephant,0,0.0,0,0.0,911,img,59.0,152.0,59.0,199.0,8.0,True,-0.6539614200592041,Not Clickbait,,neutral,0.9979873895645142,neutral,0.9995660185813904,1
1011969,9088.0,1.9256161971830985,2023-03-20,,656.0,E-Auto,News,8,1,22. März 2023,4.0,2,Mysterious dryad,Mysterious dryad,0,0.0,0,0.0,687,img,66.0,151.0,66.0,232.0,10.0,True,0.623126745223999,Clickbait,,neutral,0.9983795881271362,neutral,0.9817155003547668,1
1011970,21114.0,7.099554797764516,2023-03-20,378.0,402.0,Solaranlagen,News,9,0,20. März 2023,8.0,1,Llama,Llama,1,0.0,1,0.0,0,img,63.0,148.0,63.0,186.0,11.0,True,0.8753845691680908,Clickbait,,neutral,0.999991536140442,neutral,0.9999840259552002,1
1011971,29406.0,5.594096442902809,2023-03-29,369.0,691.0,Wärmepumpe,News,5,0,29. März 2023,4.0,1,Raven,Raven,0,0.0,0,0.0,1749,img,72.0,154.0,72.0,264.0,10.0,True,0.6181248426437378,Clickbait,3 - Widget,neutral,0.9999823570251464,neutral,0.9052429795265198,1
1011972,135.0,2.9629629629629632,2023-03-20,378.0,608.0,Solaranlagen,News,1,0,20. März 2023,0.0,1,Akita,Akita,0,0.0,0,0.0,278,img,65.0,156.0,65.0,356.0,11.0,True,0.6327828764915466,Clickbait,,neutral,0.9999901056289672,neutral,0.9106431603431702,1
1011973,127.0,7.086614173228346,2023-03-20,378.0,371.0,Verkehr,News,1,0,20. März 2023,0.0,1,Llama,Llama,0,0.0,0,0.0,142,img,61.0,158.0,61.0,228.0,9.0,True,-0.6873139142990112,Not Clickbait,,neutral,0.9999902248382568,neutral,0.9955867528915404,1
1011974,40232.0,14.741996420759596,2023-03-20,378.0,1825.0,Verkehr,Ratgeber,9,0,20. März 2023,8.0,1,Rooster,Rooster,3,0.0,0,0.0,3261,img,38.0,148.0,38.0,447.0,7.0,True,0.6818846464157104,Clickbait,,neutral,0.999970316886902,negative,0.9875565767288208,1
1011975,854357.0,15.652590193560773,2023-03-20,,633.0,Solaranlagen,News,22,2,17. September 2023,62.333333333333336,3,Alpaca,Alpaca,1,0.0,3,0.0,105971,video,72.0,124.0,72.0,308.0,10.0,True,0.6515851020812988,Clickbait,2 - Standard and Widget,neutral,0.9998477697372437,neutral,0.9782126545906068,1
1011976,10073181.0,6.095830105703452,2023-03-20,,799.0,Energie,Deal,204,37,02. Februar 2024,12.36842105263158,14,D-Drivers editorial,D-Drivers editorial,201,0.0,66,0.0,555874,video,66.0,148.0,66.0,277.0,10.0,True,0.6564272046089172,Clickbait,2 - Standard and Widget,positive,0.8117579817771912,neutral,0.999853014945984,1
1011977,1905.0,2.257217847769029,2023-03-20,378.0,1349.0,Wärmepumpe,Erfahrungsbericht,2,0,20. März 2023,1.0,1,Mysterious centaur,Mysterious centaur,0,0.0,0,0.0,103,img,73.0,146.0,73.0,334.0,9.0,True,-0.5982369184494019,Not Clickbait,,positive,0.6857627630233765,neutral,0.9999778270721436,1
1011978,5025.0,5.154228855721393,2023-03-20,378.0,439.0,E-Auto,News,3,0,20. März 2023,2.0,1,Lemur,Lemur,0,0.0,1,0.0,1386,img,72.0,146.0,72.0,205.0,11.0,True,0.5065647959709167,Clickbait,,neutral,0.9999898672103882,neutral,0.9949087500572203,1
1011979,388432.0,7.800078263376858,2023-03-20,,431.0,Solaranlagen,News,18,1,04. April 2023,11.5,2,Dodo,Dodo,8,0.0,0,0.0,18937,img,80.0,149.0,80.0,240.0,8.0,True,-0.6370900273323059,Not Clickbait,3 - Widget,neutral,0.9999914169311525,neutral,0.9999713897705078,1
1011980,10266.0,3.7599844145723744,2023-03-21,377.0,506.0,Solaranlagen,News,8,0,21. März 2023,7.0,1,Alpaca,Alpaca,0,0.0,0,0.0,239,img,79.0,150.0,79.0,254.0,12.0,True,0.5325536131858826,Clickbait,,neutral,0.999991536140442,neutral,0.5754669904708862,1
1011981,271956.0,6.717263086675786,2023-03-20,378.0,616.0,Solaranlagen,News,9,0,20. März 2023,8.0,1,Akita,Akita,0,0.0,0,0.0,10363,img,73.0,156.0,73.0,351.0,9.0,True,-0.8090019822120667,Not Clickbait,,neutral,0.9964572787284852,neutral,0.999528169631958,1
1011982,167481.0,7.941199300219129,2023-03-28,370.0,711.0,Wärmepumpe,News,13,0,28. März 2023,96.0,1,Raven,Raven,0,0.0,0,0.0,11250,img,65.0,155.0,65.0,214.0,8.0,True,0.6599903702735901,Clickbait,3 - Widget,neutral,0.5211678147315979,neutral,0.9942302703857422,1
1011983,66.0,7.575757575757576,2023-03-21,,497.0,Verkehr,News,1,0,20. März 2023,0.0,1,Lemur,Lemur,0,0.0,0,0.0,166,img,63.0,155.0,63.0,182.0,9.0,True,0.755212128162384,Clickbait,,neutral,0.9922168254852296,negative,0.9906086921691896,1
1011985,555912.0,9.403646620328397,2023-03-21,377.0,545.0,Energie,News,9,0,21. März 2023,8.0,1,Alpaca,Alpaca,0,0.0,0,0.0,19405,img,72.0,158.0,72.0,252.0,12.0,True,0.7169894576072693,Clickbait,,neutral,0.9999896287918092,neutral,0.9999810457229614,1
1011986,102567.0,8.816675928905008,2023-03-26,372.0,621.0,E-Auto,News,9,0,26. März 2023,8.0,1,Lemur,Lemur,0,0.0,1,0.0,7485,img,67.0,155.0,67.0,242.0,10.0,True,0.5449859499931335,Clickbait,3 - Widget,neutral,0.9999402761459352,neutral,0.94198077917099,1
1011987,42939.0,5.449591280653951,2023-03-20,378.0,1867.0,,,13,0,20. März 2023,12.0,1,Lobster,Lobster,0,0.0,0,0.0,2688,video,55.0,152.0,79.0,265.0,12.0,True,-0.9540372490882874,Not Clickbait,1 - Standard,neutral,0.9727246165275574,neutral,0.99058598279953,1
1011988,28314.0,7.466271102634739,2023-03-21,377.0,406.0,E-Auto,News,7,0,21. März 2023,6.0,1,Elephant,Elephant,0,0.0,0,0.0,919,img,73.0,153.0,73.0,188.0,11.0,True,0.5456976890563965,Clickbait,,negative,0.9103223085403442,neutral,0.9981247782707214,1
1011989,353089.0,9.390267043153424,2023-03-21,377.0,636.0,E-Auto,News,9,0,21. März 2023,8.0,1,Squirrel,Squirrel,0,0.0,1,0.0,27162,video,66.0,154.0,66.0,195.0,12.0,True,0.6971147656440735,Clickbait,,neutral,0.972601056098938,negative,0.9784458875656128,1
1011990,1201.0,11.240632805995004,2023-03-21,377.0,534.0,E-Auto,News,7,0,21. März 2023,6.0,1,Squirrel,Squirrel,0,0.0,0,0.0,337,img,67.0,158.0,67.0,234.0,9.0,True,-0.5096939206123352,Not Clickbait,,negative,0.9980708956718444,negative,0.9899998307228088,1
1011991,8343.0,2.0136641495864795,2024-04-24,-23.0,,Solaranlagen,Ratgeber,7,0,,6.0,1,,,0,0.0,0,0.0,0,,,,,,,,,,,,,,,1
1011993,54020.0,5.736764161421696,2023-03-21,,810.0,E-Auto,News,20,1,06. September 2023,90.0,2,"Salmon,Mysterious hobbit",Salmon;Mysterious hobbit,2,0.0,0,0.0,5353,video,79.0,154.0,79.0,258.0,13.0,True,0.5842447876930237,Clickbait,3 - Widget,neutral,0.998573899269104,neutral,0.9999712705612184,1
1011994,2181269.0,6.963056826095268,2023-03-21,,457.0,Motorrad,News,103,4,16. September 2023,40.4,3,Llama,Llama,8,0.0,1,0.0,141919,video,76.0,152.0,76.0,244.0,10.0,True,0.6120768189430237,Clickbait,2 - Standard and Widget,neutral,0.9614242315292358,negative,0.9734477400779724,1
1011995,20050.0,10.947630922693268,2023-03-21,,541.0,E-Auto,News,5,0,21. März 2023,4.0,1,Akita,Akita,2,0.0,0,0.0,3151,img,80.0,153.0,80.0,310.0,12.0,True,-0.7482703328132629,Not Clickbait,,neutral,0.9998841285705566,neutral,0.9998207688331604,1
1011996,268412.0,5.149173658405735,2023-03-21,377.0,489.0,E-Bike,News,9,0,21. März 2023,8.0,1,Whale,Whale,0,0.0,0,0.0,8061,img,80.0,156.0,80.0,244.0,14.0,True,0.5603786110877991,Clickbait,,neutral,0.9999605417251588,neutral,0.9894604682922364,1
1011997,78475.0,8.206435170436444,2023-03-21,377.0,419.0,E-Bike,News,15,0,21. März 2023,34.0,1,Llama,Llama,0,0.0,0,0.0,3040,img,68.0,154.0,68.0,259.0,11.0,True,-0.5113947987556458,Not Clickbait,3 - Widget,neutral,0.9999786615371704,neutral,0.9915854930877686,1
1011998,30459.0,10.565021832627467,2023-03-21,377.0,443.0,E-Auto,News,8,0,21. März 2023,7.0,1,Elephant,Elephant,0,0.0,1,0.0,2063,img,78.0,156.0,78.0,170.0,11.0,True,-0.5878853797912598,Not Clickbait,,negative,0.5429257750511169,negative,0.9973165392875672,1
